Trial,Prompt,P_Yes,P_No,Entropy,Reply
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Large Cap company and is in the Communication Services sector. Will this stock underperform the median stock over the next 12 months?,0.12592276483513232,0.8740772351648677,0.546149367641343,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Large Cap company and is in the Energy sector. Will this stock underperform the median stock over the next 12 months?,0.25386100696924885,0.746138993030751,0.8173405193379478,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Large Cap company and is in the Financials sector. Will this stock underperform the median stock over the next 12 months?,0.1968262036430985,0.8031737963569016,0.7155349071851346,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Large Cap company and is in the Materials sector. Will this stock underperform the median stock over the next 12 months?,0.20181322226037882,0.7981867777396212,0.7255397501630263,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Consumer Discretionary sector. Will this stock underperform the median stock over the next 12 months?,0.8740772351648677,0.12592276483513232,0.546149367641343,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Consumer Staples sector. Will this stock underperform the median stock over the next 12 months?,0.8333245953120233,0.16667540468797667,0.6500427103089785,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Financials sector. Will this stock underperform the median stock over the next 12 months?,0.8976952921073469,0.10230470789265303,0.47625905917283023,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Industrials sector. Will this stock underperform the median stock over the next 12 months?,0.8311430478583168,0.16885695214168314,0.6550832777385293,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Information Technology sector. Will this stock underperform the median stock over the next 12 months?,0.8558511469672594,0.14414885303274058,0.5950019962901679,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Micro Cap company and is in the Materials sector. Will this stock underperform the median stock over the next 12 months?,0.90192067652954,0.09807932347046003,0.46287745589727936,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Communication Services sector. Will this stock underperform the median stock over the next 12 months?,0.23651623644570763,0.7634837635542924,0.7891987449219343,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Consumer Discretionary sector. Will this stock underperform the median stock over the next 12 months?,0.25683199138751883,0.7431680086124811,0.8219280763144858,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Consumer Staples sector. Will this stock underperform the median stock over the next 12 months?,0.13846179056896438,0.8615382094310357,0.5801961602790209,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Energy sector. Will this stock underperform the median stock over the next 12 months?,0.411110869232168,0.588889130767832,0.9770800973663322,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Financials sector. Will this stock underperform the median stock over the next 12 months?,0.33458944125318596,0.665410558746814,0.9195468235193511,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Health Care sector. Will this stock underperform the median stock over the next 12 months?,0.17106119167858438,0.8289388083214156,0.6601265883612933,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Industrials sector. Will this stock underperform the median stock over the next 12 months?,0.18952109132967757,0.8104789086703224,0.7004685443667038,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Materials sector. Will this stock underperform the median stock over the next 12 months?,0.34864513533394575,0.6513548646660542,0.932852222435484,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Mid Cap company and is in the Real Estate sector. Will this stock underperform the median stock over the next 12 months?,0.3665897363221599,0.6334102636778401,0.9480175659486989,No.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Consumer Staples sector. Will this stock underperform the median stock over the next 12 months?,0.91610961358942,0.08389038641057993,0.41574101297897176,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Energy sector. Will this stock underperform the median stock over the next 12 months?,0.9489172630429474,0.05108273695705249,0.2909786625143455,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Financials sector. Will this stock underperform the median stock over the next 12 months?,0.9399133498259924,0.06008665017400762,0.32778879198235467,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Health Care sector. Will this stock underperform the median stock over the next 12 months?,0.9334308110294983,0.06656918897050168,0.35298809262889574,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Industrials sector. Will this stock underperform the median stock over the next 12 months?,0.9086178969328287,0.09138210306717136,0.44106634946365286,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Nano Cap company and is in the Materials sector. Will this stock underperform the median stock over the next 12 months?,0.9449947117065459,0.05500528829345415,0.3072900563401646,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Communication Services sector. Will this stock underperform the median stock over the next 12 months?,0.6619228758499942,0.33807712415000585,0.9229667483327662,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Consumer Discretionary sector. Will this stock underperform the median stock over the next 12 months?,0.6548947290421275,0.3451052709578724,0.9296205157612756,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Consumer Staples sector. Will this stock underperform the median stock over the next 12 months?,0.523420348936324,0.47657965106367595,0.9984167475150628,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Energy sector. Will this stock underperform the median stock over the next 12 months?,0.7879311956428947,0.21206880435710532,0.7454186186139403,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Financials sector. Will this stock underperform the median stock over the next 12 months?,0.7310585786300049,0.2689414213699951,0.8399415379831693,Yes.
"['continent', 'market_cap', 'sector']",The stock is in Africa and is a Small Cap company and is in the Health Care sector. Will this stock underperform the median stock over the next 12 months?,0.6039318337259583,0.3960681662740417,0.9686041030858334,Yes.
